n,a_n,b_n,ratio_n,ratio_n2,ratio_n3
1,2,1,2.000000,2.00000000,2.0000000000
2,4,2,2.000000,1.00000000,0.5000000000
3,4,1,1.333333,0.44444444,0.1481481481
4,8,4,2.000000,0.50000000,0.1250000000
5,13,8,2.600000,0.52000000,0.1040000000
6,8,2,1.333333,0.22222222,0.0370370370
7,8,1,1.142857,0.16326531,0.0233236152
8,21,13,2.625000,0.32812500,0.0410156250
9,13,4,1.444444,0.16049383,0.0178326475
10,31,21,3.100000,0.31000000,0.0310000000
11,13,2,1.181818,0.10743802,0.0097670924
12,13,1,1.083333,0.09027778,0.0075231481
13,21,8,1.615385,0.12426036,0.0095584888
14,45,31,3.214286,0.22959184,0.0163994169
15,81,66,5.400000,0.36000000,0.0240000000
16,97,81,6.062500,0.37890625,0.0236816406
17,21,4,1.235294,0.07266436,0.0042743741
18,31,13,1.722222,0.09567901,0.0053155007
19,21,2,1.105263,0.05817175,0.0030616708
20,21,1,1.050000,0.05250000,0.0026250000
21,66,45,3.142857,0.14965986,0.0071266602
22,166,144,7.545455,0.34297521,0.0155897821
23,31,8,1.347826,0.05860113,0.0025478754
24,45,21,1.875000,0.07812500,0.0032552083
25,225,200,9.000000,0.36000000,0.0144000000
26,333,307,12.807692,0.49260355,0.0189462904
27,31,4,1.148148,0.04252401,0.0015749632
28,444,416,15.857143,0.56632653,0.0202259475
29,31,2,1.068966,0.03686088,0.0012710648
30,31,1,1.033333,0.03444444,0.0011481481
31,97,66,3.129032,0.10093652,0.0032560169
32,45,13,1.406250,0.04394531,0.0013732910
33,625,592,18.939394,0.57392103,0.0173915463
34,200,166,5.882353,0.17301038,0.0050885406
35,66,31,1.885714,0.05387755,0.0015393586
36,81,45,2.250000,0.06250000,0.0017361111
37,45,8,1.216216,0.03287071,0.0008883975
38,717,679,18.868421,0.49653740,0.0130667736
39,974,935,24.974359,0.64036818,0.0164196969
40,1175,1135,29.375000,0.73437500,0.0183593750
41,45,4,1.097561,0.02676978,0.0006529215
42,1492,1450,35.523810,0.84580499,0.0201382140
43,45,2,1.046512,0.02433748,0.0005659879
44,45,1,1.022727,0.02324380,0.0005282682
45,66,21,1.466667,0.03259259,0.0007242798
46,1721,1675,37.413043,0.81332703,0.0176810224
47,144,97,3.063830,0.06518787,0.0013869759
48,2162,2114,45.041667,0.93836806,0.0195493345
49,2518,2469,51.387755,1.04872970,0.0214026469
50,81,31,1.620000,0.03240000,0.0006480000
51,1772,1721,34.745098,0.68127643,0.0133583614
52,97,45,1.865385,0.03587278,0.0006898612
53,66,13,1.245283,0.02349591,0.0004433190
54,679,625,12.574074,0.23285322,0.0043120967
55,2962,2907,53.854545,0.97917355,0.0178031555
56,200,144,3.571429,0.06377551,0.0011388484
57,3358,3301,58.912281,1.03354878,0.0181324348
58,66,8,1.137931,0.01961950,0.0003382673
59,225,166,3.813559,0.06463660,0.0010955356
60,81,21,1.350000,0.02250000,0.0003750000
