k,a_k,tail_inv_a^1.5,tail_inv_a^2.0,tail_inv_a^2.5,tail_inv_a^3.0
0,1,1.570696e+00,1.338509e+00,1.216016e+00,1.143193e+00
176,191642,6.776076e-07,1.084080e-09,1.913551e-12,3.578185e-15
354,1306034,7.429217e-08,4.530940e-11,3.033504e-14,2.145857e-17
531,4032937,2.022406e-08,7.074884e-12,2.701056e-15,1.088477e-18
709,9021211,7.891067e-09,1.876239e-12,4.826953e-16,1.308222e-19
886,16844093,3.714898e-09,6.582784e-13,1.246234e-16,2.473680e-20
1064,28301746,1.942913e-09,2.728469e-13,4.032845e-17,6.202445e-21
1242,43807553,1.085703e-09,1.269372e-13,1.539582e-17,1.925755e-21
1419,64376300,6.232521e-10,6.285195e-14,6.488238e-18,6.839536e-22
1597,89265524,3.521624e-10,3.151134e-14,2.856312e-18,2.620734e-22
1774,119941899,1.840704e-10,1.493045e-14,1.217869e-18,9.988773e-23
1952,158755472,7.436941e-11,5.563840e-15,4.167917e-19,3.126259e-23
2130,202257090,3.476517e-13,2.444514e-17,1.718860e-21,1.208617e-25
