n,a_n,a_n_over_n2
1,2,2.000000
117,27470,2.006721
118,28745,2.064421
122,31023,2.084319
127,37391,2.318247
130,42807,2.532959
132,44373,2.546660
139,51365,2.658506
150,61565,2.736222
152,64502,2.791811
154,67680,2.853770
156,70690,2.904750
157,75192,3.050509
160,78520,3.067188
171,89806,3.071236
172,91591,3.095964
173,96004,3.207725
174,100554,3.321245
175,101977,3.329861
177,110263,3.519519
178,116176,3.666709
184,125172,3.697188
185,130866,3.823696
186,134215,3.879495
188,141457,4.002292
205,173107,4.119143
206,175025,4.124446
207,177953,4.153026
208,182377,4.215445
211,191853,4.309270
215,202126,4.372655
220,214796,4.437934
222,223030,4.525404
228,241429,4.644294
230,247318,4.675198
231,259292,4.859204
232,261874,4.865376
233,276315,5.089705
234,281793,5.146340
239,303020,5.304879
243,321815,5.449965
248,340183,5.531071
249,350537,5.653731
251,356293,5.655355
254,380309,5.894801
255,388969,5.981838
261,407870,5.987434
265,427170,6.082876
268,455815,6.346277
269,469048,6.482055
270,477315,6.547531
281,518853,6.571003
282,529292,6.655752
283,537967,6.717115
284,546282,6.772987
287,561833,6.820928
291,582172,6.874883
293,595242,6.933593
298,641667,7.225654
313,710716,7.254499
314,715352,7.255386
323,775184,7.430187
324,785970,7.487140
326,803054,7.556306
328,821405,7.635011
334,858359,7.694423
340,893874,7.732474
341,909131,7.818397
345,945911,7.947162
348,965711,7.974229
352,1003143,8.096131
353,1024730,8.223563
354,1044403,8.334155
361,1093343,8.389615
362,1101197,8.403261
364,1122301,8.470452
365,1131194,8.490854
366,1152667,8.604818
368,1172073,8.654840
369,1179299,8.661063
370,1225150,8.949233
374,1261472,9.018502
375,1291328,9.182777
376,1299778,9.193767
379,1348211,9.385976
380,1360475,9.421572
381,1382600,9.524597
386,1419337,9.526007
387,1464958,9.781450
388,1496948,9.943591
411,1695475,10.037088
420,1772852,10.050181
430,1880931,10.172693
432,1926203,10.321304
433,1948955,10.395037
435,1977546,10.450765
452,2140204,10.475585
453,2158397,10.518043
461,2255614,10.613605
462,2315745,10.849427
463,2327878,10.859210
465,2350879,10.872374
466,2374873,10.936253
467,2437642,11.177281
469,2485219,11.298453
470,2498912,11.312413
471,2552306,11.505114
473,2586419,11.560500
474,2648061,11.786132
482,2747636,11.826742
484,2792141,11.919187
485,2844728,12.093647
486,2889679,12.234242
488,2927837,12.294398
489,2940146,12.295641
490,2961485,12.334382
499,3080237,12.370380
506,3197461,12.488326
507,3255651,12.665488
508,3328626,12.898452
509,3346748,12.917767
516,3453268,12.969728
521,3542884,13.052133
522,3556777,13.053159
523,3585136,13.106969
524,3602174,13.119042
538,3863007,13.346302
541,3926852,13.416833
542,3947945,13.439172
545,4032937,13.577770
548,4081938,13.592686
549,4179294,13.866225
555,4328366,14.051996
556,4345911,14.058249
566,4517263,14.100760
593,4964098,14.116628
601,5150245,14.258668
606,5254690,14.308755
607,5304969,14.398109
608,5347922,14.466981
610,5406466,14.529605
611,5506184,14.749194
615,5578845,14.750069
616,5602639,14.764924
618,5685508,14.886491
619,5713617,14.911792
626,5852636,14.934918
629,5913295,14.946113
631,5993615,15.053245
633,6046798,15.091001
643,6248228,15.112452
644,6366618,15.351014
646,6418049,15.379350
647,6540573,15.624540
649,6588993,15.643346
655,6737061,15.703190
656,6809593,15.823898
657,6867775,15.910555
661,6976736,15.967958
674,7384703,16.255983
682,7580182,16.297121
684,7676297,16.407392
687,7774751,16.473012
688,7798701,16.475758
689,7844630,16.524717
690,7877379,16.545640
692,7935462,16.571432
693,8014016,16.687210
694,8097884,16.813286
695,8134120,16.839957
698,8242754,16.918486
699,8307627,17.002886
703,8407398,17.011827
706,8494055,17.041416
708,8628223,17.212932
711,8743644,17.296302
718,8958535,17.377532
725,9255303,17.608186
729,9412654,17.711569
730,9511219,17.848037
737,9738335,17.928739
738,9773160,17.944125
739,9920798,18.165934
743,10038697,18.184431
744,10134628,18.308887
755,10482924,18.390288
762,10767315,18.543746
765,10937688,18.689714
766,11044228,18.822522
767,11144312,18.943601
768,11225273,19.031564
778,11558554,19.096084
779,11651212,19.199777
781,11794217,19.336018
782,11848016,19.374572
784,12114715,19.709748
787,12228859,19.744060
790,12363561,19.810224
792,12451912,19.851150
796,12677467,20.008123
801,12876701,20.069640
807,13156626,20.202144
810,13354852,20.354903
812,13484741,20.451754
814,13644588,20.592621
816,13836190,20.779553
820,14029225,20.864404
821,14181641,21.039731
822,14249390,21.088837
824,14385718,21.187373
829,14581471,21.217406
836,14879476,21.289972
856,15674914,21.392308
857,15924939,21.682838
860,16078552,21.739524
862,16208081,21.813084
863,16477698,22.124576
864,16521923,22.132634
865,16590429,22.173048
866,16686080,22.249412
874,17018228,22.278783
875,17152743,22.403583
881,17427927,22.454010
882,17578166,22.596251
884,17683115,22.628421
885,17789871,22.713615
887,17959319,22.826673
894,18419396,23.046254
895,18553745,23.162504
898,18715825,23.208993
899,18878816,23.359060
911,19633828,23.657466
913,19950853,23.934255
920,20259433,23.936003
925,20695539,24.187628
926,20824167,24.285423
932,21204507,24.411606
936,21409444,24.437327
938,21527140,24.466996
941,21721658,24.530914
945,22226658,24.889178
947,22321951,24.890418
949,22649649,25.149482
956,23030368,25.199104
957,23187055,25.317552
965,23823642,25.583121
983,24840551,25.707165
989,25319835,25.886199
992,25509146,25.922243
993,25563270,25.924949
997,25786235,25.941651
998,25892425,25.996306
1000,26100594,26.100594
1001,26193632,26.141323
1002,26360894,26.255766
1003,26413613,26.255842
1012,26924068,26.289338
1013,27111699,26.420306
1014,27219855,26.473411
1015,27342813,26.540623
1016,27657555,26.793310
1017,27845268,26.922135
1018,28234131,27.244502
1022,28754399,27.529765
1024,28881286,27.543341
1033,29444887,27.593656
1035,29664582,27.692205
1036,29811967,27.776091
1039,30110100,27.892093
1041,30605254,28.241940
1043,30733383,28.251516
1044,30795850,28.254732
1045,30922749,28.316887
1046,31086312,28.412263
1052,31527560,28.487798
1053,31823732,28.700824
1056,32120520,28.804128
1057,32304650,28.914459
1059,32541957,29.016949
1075,33831730,29.275699
1077,34076977,29.378502
1082,34523698,29.489186
1084,34685643,29.518289
1085,34921145,29.663951
1086,34994914,29.671895
1087,35295939,29.872093
1092,35834014,30.050395
1106,37091339,30.322308
1108,37461548,30.514496
1112,37753393,30.531379
1113,37833647,30.541325
1115,38497289,30.965665
1118,38731989,30.987475
1119,38822623,31.004498
1120,38958217,31.057252
1121,39268628,31.248883
1123,39703844,31.482778
1126,39924323,31.489139
1132,40611230,31.692266
1148,41881315,31.778730
1151,42103171,31.780751
1152,42288494,31.865245
1155,42626927,31.953619
1156,42876331,32.084993
1158,43124854,32.159591
1161,43390243,32.190494
1164,43739023,32.282200
1182,45172929,32.332799
1184,45390544,32.378892
1193,46148881,32.425023
1194,46820547,32.841866
1195,46921979,32.857953
1198,47245464,32.918989
1199,47373687,32.953293
1205,48268116,33.241932
1213,48950292,33.268536
1214,49095191,33.312067
1215,49488353,33.523584
1216,49853074,33.715126
1217,50039572,33.785662
1218,50242808,33.867203
1220,50606538,34.000630
1221,51349144,34.443072
1224,51681179,34.496067
1226,52083096,34.651006
1228,52292244,34.676922
1235,53072205,34.796312
1237,53578189,35.014557
1243,54214934,35.089459
1246,54736065,35.256361
1247,54852767,35.274887
1255,55887426,35.483517
1258,56214428,35.521109
1262,56600428,35.538656
1265,57028009,35.637494
1269,57720014,35.842904
1273,58574129,36.145067
1279,59136871,36.150745
1281,59751996,36.412807
1291,60709137,36.425169
1295,61103805,36.435834
1296,61472073,36.598885
1299,61995138,36.740015
1300,62435285,36.943956
1301,62550420,36.955207
1304,63358185,37.260403
1311,64377611,37.456697
1312,64961932,37.739076
1317,65520507,37.775107
1320,66054021,37.909792
1321,66205902,37.939454
1323,66434405,37.955382
1324,66545920,37.961683
1325,66834634,38.068855
1327,67377789,38.262638
1338,68580827,38.308089
1339,68897556,38.427547
1340,69028666,38.443231
1351,71076155,38.941549
1354,71465367,38.981478
1355,71843805,39.130080
1363,72710876,39.138814
1365,73105755,39.236139
1366,73286358,39.275502
1376,74418693,39.304762
1377,74605137,39.346024
1378,74771610,39.376608
1379,75214997,39.552680
1381,75484745,39.579640
1382,76461058,40.033560
1385,76875397,40.076319
1390,77667065,40.198264
1391,78123791,40.376535
1393,78711375,40.563486
1399,79396900,40.566554
1400,79598458,40.611458
1401,79776727,40.644328
1413,81391940,40.765904
1416,81862550,40.828062
1417,82206904,40.941956
1421,82824597,41.017688
1433,84290278,41.047348
1440,85649791,41.304876
1459,88280203,41.471786
1463,88938493,41.552878
1473,90682617,41.794444
1480,91688607,41.859298
1481,91872328,41.886551
1482,92068938,41.919561
1486,92895668,42.068579
1502,95362739,42.270643
1503,95886423,42.446233
1504,96050702,42.462433
1505,96195994,42.470169
1506,96480672,42.539304
1508,97125791,42.710228
1516,98223877,42.738440
1519,98874812,42.851904
1520,99084911,42.886475
1525,100303201,43.129568
1526,101029723,43.385049
1527,101215250,43.407810
1528,101805333,43.603748
1532,102390404,43.625631
1535,102881020,43.663496
1536,103104645,43.701445
1539,103779735,43.816261
1540,104250783,43.957996
1541,104999288,44.216165
1542,105198445,44.242593
1543,105410990,44.274538
1546,106155932,44.414552
1548,106553143,44.465620
1549,106865640,44.538466
1550,107369646,44.690800
1551,107526009,44.698189
1552,107898563,44.795277
1553,108632263,45.041818
1554,109160168,45.202470
1562,110521860,45.298740
1563,110842189,45.371918
1565,111307587,45.446044
1568,111917121,45.520226
1569,112179543,45.568820
1571,112619598,45.631170
1575,113560905,45.779150
1576,113914530,45.863447
1581,114955652,45.990337
1582,115124198,45.999558
1590,116978647,46.271369
1591,117246763,46.319142
1592,117509309,46.364560
1593,117898217,46.459623
1596,119274713,46.825520
1600,119941899,46.852304
1601,120093337,46.852875
1608,121359023,46.935342
1610,122471572,47.248012
1614,123433944,47.383545
1615,124189781,47.614673
1616,124417945,47.643133
1618,124956706,47.731220
1620,126095614,48.047407
1622,127180838,48.341484
1635,129920793,48.600770
1639,130654988,48.637146
1641,131118834,48.690913
1643,131683296,48.781546
1645,132297460,48.889962
1646,132762473,49.002211
1648,133484034,49.149025
1649,133666519,49.156542
1650,135126824,49.633361
1659,138291746,50.246231
1694,144528135,50.364623
1697,145422141,50.497148
1701,146144880,50.509722
1707,147551559,50.638025
1711,148369670,50.680993
1716,150090820,50.970579
1726,151926368,50.997815
1729,152796639,51.112111
1730,153231858,51.198456
1731,153515942,51.234128
1734,154582703,51.411788
1735,154984306,51.485954
1736,155514730,51.602660
1737,155823390,51.645562
1738,156259510,51.730528
1739,157369656,52.038148
1745,158755472,52.136016
1748,159483228,52.195392
1749,159873010,52.263144
1750,160437788,52.387849
1756,161889204,52.501156
1757,162475670,52.631387
1761,163692810,52.785045
1762,164206232,52.890519
1783,168925849,53.136559
1786,169743522,53.214538
1791,170762356,53.235455
1794,172116884,53.478424
1797,172744621,53.494407
1799,173221322,53.522824
1802,175508643,54.049158
1804,175947159,54.064127
1805,176379312,54.136881
1806,176581999,54.139088
1819,179156791,54.146187
1821,179806075,54.223116
1822,180991723,54.520769
1823,181938646,54.745903
1826,183105525,54.916127
1836,185390858,54.997502
1838,185985367,55.053858
1852,188863790,55.063871
1861,191130363,55.187019
1865,192164453,55.247850
1870,193572144,55.355356
1872,194929683,55.624521
1873,195248688,55.656074
1878,197230454,55.922013
1884,199390414,56.174922
1890,201062473,56.286911
