n,a_n,a_n/n,a_n/n^2,a_n/n^3,running_min_a_n/n^2,running_max_a_n/n^2
10,31,3.1000,0.310000,0.03100000,0.160494,2.000000
13,21,1.6154,0.124260,0.00955849,0.090278,2.000000
17,21,1.2353,0.072664,0.00427437,0.072664,2.000000
23,31,1.3478,0.058601,0.00254788,0.052500,2.000000
31,97,3.1290,0.100937,0.00325602,0.034444,2.000000
42,1492,35.5238,0.845805,0.02013821,0.026770,2.000000
56,200,3.5714,0.063776,0.00113885,0.023244,2.000000
74,7036,95.0811,1.284879,0.01736324,0.015200,2.000000
100,166,1.6600,0.016600,0.00016600,0.010525,2.000000
133,333,2.5038,0.018825,0.00014154,0.008391,2.546660
177,110263,622.9548,3.519519,0.01988429,0.006097,3.519519
237,285008,1202.5654,5.074116,0.02140977,0.004484,5.146340
316,719377,2276.5095,7.204144,0.02279792,0.003279,7.255386
421,3779,8.9762,0.021321,0.00005064,0.002415,10.050181
562,12320,21.9217,0.039007,0.00006941,0.001881,14.058249
749,974,1.3004,0.001736,0.00000232,0.001399,18.308887
1000,26100594,26100.5940,26.100594,0.02610059,0.001029,26.100594
1333,5112,3.8350,0.002877,0.00000216,0.000849,38.262638
1778,166920173,93880.8622,52.801385,0.02969707,0.000565,52.890519
1898,21834277,11503.8340,6.061030,0.00319338,0.000565,56.286911
