n,a_n,b_n
1,2,1
2,4,2
3,4,1
4,8,4
5,13,8
6,8,2
7,8,1
8,21,13
9,13,4
10,31,21
11,13,2
12,13,1
13,21,8
14,45,31
15,81,66
16,97,81
17,21,4
18,31,13
19,21,2
20,21,1
21,66,45
22,204,182
23,31,8
24,45,21
25,148,123
26,123,97
27,31,4
28,593,565
29,31,2
30,31,1
31,97,66
32,45,13
33,780,747
34,182,148
35,66,31
36,81,45
37,45,8
38,290,252
39,819,780
40,401,361
41,45,4
42,123,81
43,45,2
44,45,1
45,66,21
46,1013,967
47,1166,1119
48,252,204
49,1403,1354
50,81,31
51,148,97
52,97,45
53,66,13
54,1609,1555
55,1884,1829
56,204,148
57,123,66
58,66,8
59,182,123
60,81,21
61,2095,2034
62,66,4
63,2158,2095
64,66,2
65,66,1
66,97,31
67,148,81
68,81,13
69,2368,2299
70,252,182
71,361,290
72,819,747
73,81,8
74,475,401
75,2534,2459
76,97,21
77,81,4
78,123,45
79,81,2
80,81,1
81,204,123
82,148,66
83,2809,2726
84,97,13
85,182,97
86,290,204
87,3027,2940
88,3115,3027
89,97,8
90,3344,3254
91,3561,3470
92,123,31
93,97,4
94,3813,3719
95,97,2
96,97,1
97,4092,3995
98,4353,4255
99,4558,4459
100,4834,4734
101,182,81
102,123,21
103,148,45
104,252,148
105,5185,5080
106,5403,5297
107,204,97
108,290,182
109,361,252
110,123,13
111,401,290
112,5671,5559
113,5784,5671
114,475,361
115,123,8
116,182,66
117,148,31
118,6234,6116
119,123,4
120,6641,6521
121,123,2
122,123,1
123,204,81
124,2158,2034
125,6916,6791
126,7218,7092
127,148,21
128,7514,7386
129,252,123
130,7644,7514
131,8176,8045
132,8500,8368
133,5917,5784
134,8869,8735
135,148,13
136,9261,9125
137,182,45
138,204,66
139,9400,9261
140,148,8
141,9997,9856
142,290,148
143,10681,10538
144,148,4
145,11126,10981
146,148,2
147,148,1
148,11571,11423
149,401,252
150,11981,11831
151,182,31
152,12440,12288
153,12593,12440
154,13373,13219
155,252,97
156,13868,13712
157,361,204
158,14026,13868
159,204,45
160,14952,14792
161,182,21
162,16162,16000
163,16795,16632
164,15116,14952
165,18132,17967
166,18680,18514
167,290,123
168,19311,19143
169,182,13
170,20139,19969
171,252,81
172,20684,20512
173,204,31
174,182,8
175,3115,2940
176,21182,21006
177,21586,21409
178,182,4
179,361,182
180,182,2
181,182,1
182,22644,22462
183,204,21
184,22828,22644
185,475,290
186,252,66
187,23836,23649
188,24698,24510
189,25389,25200
190,26056,25866
191,204,13
192,26734,26542
193,290,97
194,26928,26734
195,24031,23836
196,204,8
197,401,204
198,27126,26928
199,6116,5917
200,204,4
201,30761,30560
202,204,2
203,204,1
204,33391,33187
205,34670,34465
206,35762,35556
207,252,45
208,35970,35762
209,290,81
210,37844,37634
211,38593,38382
212,39838,39626
213,361,148
214,40286,40072
215,41653,41438
216,42104,41888
217,44289,44072
218,46010,45792
219,401,182
220,46669,46449
221,252,31
222,47210,46988
223,475,252
224,290,66
225,5784,5559
226,819,593
227,48188,47961
228,49014,48786
229,49859,49630
230,50359,50129
231,252,21
232,51208,50976
233,52028,51795
234,52785,52551
235,53746,53511
236,54357,54121
237,55224,54987
238,361,123
239,252,13
240,55916,55676
241,57066,56825
242,57308,57066
243,60424,60181
244,252,8
245,290,45
246,5917,5671
247,61801,61554
248,252,4
249,62050,61801
250,252,2
251,252,1
252,62818,62566
253,401,148
254,819,565
255,64547,64292
256,63074,62818
257,69650,69393
258,7644,7386
259,290,31
260,71551,71291
261,73315,73054
262,74870,74608
263,75456,75193
264,361,97
265,78403,78138
266,79615,79349
267,80442,80175
268,81865,81597
269,290,21
270,82461,82191
271,475,204
272,83202,82930
273,84344,84071
274,2158,1884
275,9400,9125
276,86786,86510
277,290,13
278,401,123
279,75735,75456
280,361,81
281,88380,88099
282,290,8
283,90221,89938
284,91068,90784
285,91777,91492
286,290,4
287,92386,92099
288,290,2
289,290,1
290,93762,93472
291,97006,96715
292,98553,98261
293,475,182
294,99196,98902
295,361,66
296,101022,100726
297,101976,101679
298,103891,103593
299,104921,104622
300,107130,106830
